name_wiki,genre_wiki,release_wiki,url_wiki
Jul (song),,1983 / 1989,https://en.wikipedia.org/wiki/Jul_(song)
Keep Ya Head Up,,"October 28, 1993",https://en.wikipedia.org/wiki/Keep_Ya_Head_Up
Khochu peremen,,First performed Summer 1986,https://en.wikipedia.org/wiki/Khochu_peremen
The Kids Are Coming (song),,27 September 2019 (2019-09-27),https://en.wikipedia.org/wiki/The_Kids_Are_Coming_(song)
Killing in the Name,,"November 2, 1992 (1992-11-02)",https://en.wikipedia.org/wiki/Killing_in_the_Name
De Kleine Man,,,https://en.wikipedia.org/wiki/De_Kleine_Man
Włodzimierz Korcz,,,https://en.wikipedia.org/wiki/W%C5%82odzimierz_Korcz
Korean protest songs,,,https://en.wikipedia.org/wiki/Korean_protest_songs
Kosovo (song),,,https://en.wikipedia.org/wiki/Kosovo_(song)
L'Estaca,,,https://en.wikipedia.org/wiki/L%27Estaca
La marseillaise de la Commune,,,https://en.wikipedia.org/wiki/La_marseillaise_de_la_Commune
La mujer sandunguera,,,https://en.wikipedia.org/wiki/La_mujer_sandunguera
Lamborghini Angels,,"August 14, 2012",https://en.wikipedia.org/wiki/Lamborghini_Angels
Land (song),,August 1993 (1993-08),https://en.wikipedia.org/wiki/Land_(song)
Land of Confusion,,17 November 1986 (1986-11-17) (UK)[1] / 2006,https://en.wikipedia.org/wiki/Land_of_Confusion
Lazer Beam,,15 August 2005,https://en.wikipedia.org/wiki/Lazer_Beam
Less Than Zero (song),,11 March 1977,https://en.wikipedia.org/wiki/Less_Than_Zero_(song)
Let's Impeach the President,,"April 28, 2006",https://en.wikipedia.org/wiki/Let%27s_Impeach_the_President
Liar Liar GE2017,,26 May 2017 (2017-05-26),https://en.wikipedia.org/wiki/Liar_Liar_GE2017
Light One Candle,,1986,https://en.wikipedia.org/wiki/Light_One_Candle
List of songs about abortion,,,https://en.wikipedia.org/wiki/List_of_songs_about_abortion
Little Boxes,,,https://en.wikipedia.org/wiki/Little_Boxes
Livin' on the Edge,,"February 23, 1993",https://en.wikipedia.org/wiki/Livin%27_on_the_Edge
Living for the City,,November 1973 (1973-11),https://en.wikipedia.org/wiki/Living_for_the_City
London Calling (song),,7 December 1979,https://en.wikipedia.org/wiki/London_Calling_(song)
The Lonesome Death of Hattie Carroll,,"January 13, 1964",https://en.wikipedia.org/wiki/The_Lonesome_Death_of_Hattie_Carroll
Lookin' Back,,"September 1971 / April, 1976",https://en.wikipedia.org/wiki/Lookin%27_Back
Looking for America (song),,"August 9, 2019 (2019-08-09)",https://en.wikipedia.org/wiki/Looking_for_America_(song)
Love of the Common People,,"January 21, 1967[1] / 19827 November 1983 (Re-release)",https://en.wikipedia.org/wiki/Love_of_the_Common_People
The Luck of the Irish (song),,12 June 1972 (US) 15 September 1972 (UK),https://en.wikipedia.org/wiki/The_Luck_of_the_Irish_(song)
Ludlow Massacre (song),,,https://en.wikipedia.org/wiki/Ludlow_Massacre_(song)
Maggie Out,,,https://en.wikipedia.org/wiki/Maggie_Out
The Magnificent (song),,9 September 1995 (UK),https://en.wikipedia.org/wiki/The_Magnificent_(song)
The Man Don't Give a Fuck,,2 December 1996 / 27 September 2004,https://en.wikipedia.org/wiki/The_Man_Don%27t_Give_a_Fuck
Man in Black (song),,March 1971,https://en.wikipedia.org/wiki/Man_in_Black_(song)
Man in the Mirror,,"February 6, 1988[1]",https://en.wikipedia.org/wiki/Man_in_the_Mirror
The Manchester Rambler,,,https://en.wikipedia.org/wiki/The_Manchester_Rambler
Mandela Day (song),,18 January 1989,https://en.wikipedia.org/wiki/Mandela_Day_(song)
Marsz Gwardii Ludowej,,,https://en.wikipedia.org/wiki/Marsz_Gwardii_Ludowej
The Masses Against the Classes,,"January 10, 2000",https://en.wikipedia.org/wiki/The_Masses_Against_the_Classes
